15 5973 19852
1 328 -0.143002 -0.280241
0 329 -0.166718 -0.235004
1 329 -0.138845 -0.279019
0 330 -0.193124 -0.226201
1 330 -0.165251 -0.27315
0 185 -0.181388 -0.226201
0 186 -0.185789 -0.224734
0 331 -0.16085 -0.217398
1 331 -0.134444 -0.264347
0 332 -0.156449 -0.214464
1 332 -0.130044 -0.259946
0 333 0.141348 -0.210062
1 333 0.161886 -0.248208
0 334 -0.168185 -0.205661
1 334 -0.141779 -0.25261
0 23 -0.144713 -0.183653
0 335 0.00345192 -0.157244
1 335 0.0239897 -0.196858
0 336 0.145749 -0.135237
1 336 0.162766 -0.177491
0 337 -0.0464255 -0.116164
1 337 -0.0258877 -0.160179
0 338 0.0694662 -0.113229
1 338 0.0900039 -0.146974
0 339 0.0738672 -0.0985578
1 339 0.0892705 -0.146974
0 195 -0.0170858 -0.0970906
0 340 -0.0214868 -0.0941563
1 340 -0.00241596 -0.139638
0 197 -0.0185528 -0.091222
0 341 0.148683 -0.091222
1 341 0.166287 -0.126434
0 342 -0.0082839 -0.0897548
1 342 0.0107868 -0.13377
0 343 -0.187256 -0.0780176
1 343 -0.16085 -0.120565
0 200 0.00345192 -0.0780176
0 344 -0.0376235 -0.0765504
1 344 -0.0185528 -0.1235
0 345 0.299783 -0.0692146
1 345 0.315919 -0.101492
0 346 -0.216595 -0.0662802
1 346 -0.189456 -0.109072
0 347 -0.122709 -0.0662802
1 347 -0.0977699 -0.106627
0 348 -0.118308 -0.0648131
1 348 -0.0948359 -0.105894
0 349 0.0518624 -0.0604116
1 349 0.0709332 -0.0992914
0 350 0.295382 -0.0486743
1 350 0.311518 -0.0794847
0 351 0.00345192 -0.0428057
1 351 0.0265131 -0.0667426
0 352 0.299783 -0.0428057
1 352 0.315919 -0.0736161
0 353 -0.121242 -0.0413385
1 353 -0.0977699 -0.0846198
0 209 -0.115374 -0.0384042
0 354 0.326188 -0.0354699
1 354 0.340858 -0.0692146
0 355 -0.124176 -0.0340027
1 355 -0.100704 -0.0780176
0 356 0.226433 -0.0296012
1 356 0.243304 -0.0601671
0 211 0.326188 -0.0281341
0 357 -0.100704 -0.0251997
1 357 -0.0801661 -0.0721489
0 358 -0.0200198 -0.0222654
1 358 0.00125147 -0.0552765
0 359 -0.0963029 -0.0178639
1 359 -0.0748849 -0.0577707
0 360 -0.0786991 -0.0178639
1 360 -0.0572811 -0.0612919
0 361 0.00785287 -0.0149296
1 361 0.0293686 -0.0491634
0 362 -0.0772321 -0.00172517
1 362 -0.0555207 -0.0401648
0 219 -0.0816331 0.00707781
0 220 0.310051 0.00854497
0 363 -0.0684302 0.0129465
1 363 -0.0464255 -0.0251997
0 221 0.25724 0.0129465
0 364 0.232301 0.0173479
1 364 0.246971 -0.0173749
0 224 0.255773 0.0334867
0 365 0.258707 0.036421
1 365 0.275088 0.0034099
0 366 0.285113 0.0510926
1 366 0.298316 0.0119683
0 367 0.266042 0.0554941
1 367 0.279245 0.0188151
0 368 0.277778 0.0569613
1 368 0.290981 0.0188151
0 369 0.268976 0.0672314
1 369 0.282179 0.0276181
0 370 0.274844 0.0745672
1 370 0.288047 0.0349539
0 371 0.239636 0.0833702
1 371 0.249905 0.0393553
0 372 0.0929379 0.0863045
1 372 0.102718 0.0241947
0 373 0.264575 0.0863045
1 373 0.276311 0.0437568
